Unit_Number,Predicted_RUL,Health_Status,Recommended_Action,Priority,Explanation
1,194.19,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
2,152.84,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
3,60.94,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
4,94.04,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
5,124.94,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
6,109.74,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
7,107.36,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
8,83.84,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
9,147.36,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
10,98.23,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
11,105.92,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
12,95.19,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
13,85.05,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
14,125.04,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
15,102.74,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
16,202.03,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
17,50.69,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
18,44.5,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
19,92.96,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
20,16.14,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
21,70.13,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
22,118.52,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
23,121.24,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
24,19.62,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
25,165.5,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
26,104.49,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
27,73.04,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
28,138.43,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
29,93.4,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
30,89.7,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
31,11.0,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
32,47.8,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
33,133.4,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
34,5.98,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
35,7.26,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
36,15.65,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
37,42.12,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
38,44.08,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
39,134.66,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
40,30.15,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
41,11.07,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
42,6.55,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
43,88.49,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
44,112.54,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
45,69.79,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
46,37.56,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
47,92.2,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
48,87.24,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
49,14.18,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
50,78.01,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
51,83.55,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
52,28.75,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
53,32.14,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
54,162.16,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
55,200.49,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
56,20.13,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
57,80.42,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
58,57.39,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
59,131.68,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
60,78.19,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
61,23.49,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
62,52.17,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
